Row_Number,Column_Number,Field_Index,URL_Blue,URL_Green,URL_FarRed
8,4,6,H - 04(fld 07 wv 405 - Blue).tif,H - 04(fld 07 wv 488 - Green).tif,H - 04(fld 07 wv 642 - FarRed).tif
8,4,7,H - 04(fld 08 wv 405 - Blue).tif,H - 04(fld 08 wv 488 - Green).tif,H - 04(fld 08 wv 642 - FarRed).tif
8,4,8,H - 04(fld 09 wv 405 - Blue).tif,H - 04(fld 09 wv 488 - Green).tif,H - 04(fld 09 wv 642 - FarRed).tif
8,4,9,H - 04(fld 10 wv 405 - Blue).tif,H - 04(fld 10 wv 488 - Green).tif,H - 04(fld 10 wv 642 - FarRed).tif
8,4,10,H - 04(fld 11 wv 405 - Blue).tif,H - 04(fld 11 wv 488 - Green).tif,H - 04(fld 11 wv 642 - FarRed).tif
8,4,11,H - 04(fld 12 wv 405 - Blue).tif,H - 04(fld 12 wv 488 - Green).tif,H - 04(fld 12 wv 642 - FarRed).tif
8,5,0,H - 05(fld 01 wv 405 - Blue).tif,H - 05(fld 01 wv 488 - Green).tif,H - 05(fld 01 wv 642 - FarRed).tif
8,5,1,H - 05(fld 02 wv 405 - Blue).tif,H - 05(fld 02 wv 488 - Green).tif,H - 05(fld 02 wv 642 - FarRed).tif
8,5,2,H - 05(fld 03 wv 405 - Blue).tif,H - 05(fld 03 wv 488 - Green).tif,H - 05(fld 03 wv 642 - FarRed).tif
8,5,3,H - 05(fld 04 wv 405 - Blue).tif,H - 05(fld 04 wv 488 - Green).tif,H - 05(fld 04 wv 642 - FarRed).tif
8,5,4,H - 05(fld 05 wv 405 - Blue).tif,H - 05(fld 05 wv 488 - Green).tif,H - 05(fld 05 wv 642 - FarRed).tif
8,5,5,H - 05(fld 06 wv 405 - Blue).tif,H - 05(fld 06 wv 488 - Green).tif,H - 05(fld 06 wv 642 - FarRed).tif
8,5,6,H - 05(fld 07 wv 405 - Blue).tif,H - 05(fld 07 wv 488 - Green).tif,H - 05(fld 07 wv 642 - FarRed).tif
8,5,7,H - 05(fld 08 wv 405 - Blue).tif,H - 05(fld 08 wv 488 - Green).tif,H - 05(fld 08 wv 642 - FarRed).tif
8,5,8,H - 05(fld 09 wv 405 - Blue).tif,H - 05(fld 09 wv 488 - Green).tif,H - 05(fld 09 wv 642 - FarRed).tif
8,5,9,H - 05(fld 10 wv 405 - Blue).tif,H - 05(fld 10 wv 488 - Green).tif,H - 05(fld 10 wv 642 - FarRed).tif
8,5,10,H - 05(fld 11 wv 405 - Blue).tif,H - 05(fld 11 wv 488 - Green).tif,H - 05(fld 11 wv 642 - FarRed).tif
8,5,11,H - 05(fld 12 wv 405 - Blue).tif,H - 05(fld 12 wv 488 - Green).tif,H - 05(fld 12 wv 642 - FarRed).tif
8,6,0,H - 06(fld 01 wv 405 - Blue).tif,H - 06(fld 01 wv 488 - Green).tif,H - 06(fld 01 wv 642 - FarRed).tif
8,6,1,H - 06(fld 02 wv 405 - Blue).tif,H - 06(fld 02 wv 488 - Green).tif,H - 06(fld 02 wv 642 - FarRed).tif
8,6,2,H - 06(fld 03 wv 405 - Blue).tif,H - 06(fld 03 wv 488 - Green).tif,H - 06(fld 03 wv 642 - FarRed).tif
8,6,3,H - 06(fld 04 wv 405 - Blue).tif,H - 06(fld 04 wv 488 - Green).tif,H - 06(fld 04 wv 642 - FarRed).tif
8,6,4,H - 06(fld 05 wv 405 - Blue).tif,H - 06(fld 05 wv 488 - Green).tif,H - 06(fld 05 wv 642 - FarRed).tif
8,6,5,H - 06(fld 06 wv 405 - Blue).tif,H - 06(fld 06 wv 488 - Green).tif,H - 06(fld 06 wv 642 - FarRed).tif
8,6,6,H - 06(fld 07 wv 405 - Blue).tif,H - 06(fld 07 wv 488 - Green).tif,H - 06(fld 07 wv 642 - FarRed).tif
8,6,7,H - 06(fld 08 wv 405 - Blue).tif,H - 06(fld 08 wv 488 - Green).tif,H - 06(fld 08 wv 642 - FarRed).tif
8,6,8,H - 06(fld 09 wv 405 - Blue).tif,H - 06(fld 09 wv 488 - Green).tif,H - 06(fld 09 wv 642 - FarRed).tif
8,6,9,H - 06(fld 10 wv 405 - Blue).tif,H - 06(fld 10 wv 488 - Green).tif,H - 06(fld 10 wv 642 - FarRed).tif
8,6,10,H - 06(fld 11 wv 405 - Blue).tif,H - 06(fld 11 wv 488 - Green).tif,H - 06(fld 11 wv 642 - FarRed).tif
8,6,11,H - 06(fld 12 wv 405 - Blue).tif,H - 06(fld 12 wv 488 - Green).tif,H - 06(fld 12 wv 642 - FarRed).tif
8,7,0,H - 07(fld 01 wv 405 - Blue).tif,H - 07(fld 01 wv 488 - Green).tif,H - 07(fld 01 wv 642 - FarRed).tif
8,7,1,H - 07(fld 02 wv 405 - Blue).tif,H - 07(fld 02 wv 488 - Green).tif,H - 07(fld 02 wv 642 - FarRed).tif
8,7,2,H - 07(fld 03 wv 405 - Blue).tif,H - 07(fld 03 wv 488 - Green).tif,H - 07(fld 03 wv 642 - FarRed).tif
8,7,3,H - 07(fld 04 wv 405 - Blue).tif,H - 07(fld 04 wv 488 - Green).tif,H - 07(fld 04 wv 642 - FarRed).tif
8,7,4,H - 07(fld 05 wv 405 - Blue).tif,H - 07(fld 05 wv 488 - Green).tif,H - 07(fld 05 wv 642 - FarRed).tif
8,7,5,H - 07(fld 06 wv 405 - Blue).tif,H - 07(fld 06 wv 488 - Green).tif,H - 07(fld 06 wv 642 - FarRed).tif
8,7,6,H - 07(fld 07 wv 405 - Blue).tif,H - 07(fld 07 wv 488 - Green).tif,H - 07(fld 07 wv 642 - FarRed).tif
8,7,7,H - 07(fld 08 wv 405 - Blue).tif,H - 07(fld 08 wv 488 - Green).tif,H - 07(fld 08 wv 642 - FarRed).tif
8,7,8,H - 07(fld 09 wv 405 - Blue).tif,H - 07(fld 09 wv 488 - Green).tif,H - 07(fld 09 wv 642 - FarRed).tif
8,7,9,H - 07(fld 10 wv 405 - Blue).tif,H - 07(fld 10 wv 488 - Green).tif,H - 07(fld 10 wv 642 - FarRed).tif
8,7,10,H - 07(fld 11 wv 405 - Blue).tif,H - 07(fld 11 wv 488 - Green).tif,H - 07(fld 11 wv 642 - FarRed).tif
8,7,11,H - 07(fld 12 wv 405 - Blue).tif,H - 07(fld 12 wv 488 - Green).tif,H - 07(fld 12 wv 642 - FarRed).tif
8,8,0,H - 08(fld 01 wv 405 - Blue).tif,H - 08(fld 01 wv 488 - Green).tif,H - 08(fld 01 wv 642 - FarRed).tif
8,8,1,H - 08(fld 02 wv 405 - Blue).tif,H - 08(fld 02 wv 488 - Green).tif,H - 08(fld 02 wv 642 - FarRed).tif
8,8,2,H - 08(fld 03 wv 405 - Blue).tif,H - 08(fld 03 wv 488 - Green).tif,H - 08(fld 03 wv 642 - FarRed).tif
